 highest profit generated?,8399.976
In which state was the highest profit generated?,Indiana
In which Segment  was the highest profit generated?,Corporate
In which  category was the highest profit generated?,Technology
,
highest sales?,22638.48
In which segment was the highest sales generated?,Home Office
In which state was the highest sales generated?,Florida
In which category was the highest sales generated?,Technology
,
The total revenue generated from the sales of Appliances in Carlifornia,107532.161
